id,co2
41257,197
41258,234
41259,200
41260,205
41261,133
41262,135
41263,193
41264,195
41265,85
41266,205
41267,209
41268,195
41269,205
41270,140
41271,242
41272,215
41273,184
41274,222
41275,141
41276,215
41277,231
41278,202
41279,200
41280,152
41281,128
41282,149
41283,200
41284,129
41285,200
41286,200
41287,220
41288,221
41289,107
41290,205
41291,233
41292,216
41293,86
41294,200
41295,199
41296,107
41297,213
41298,190
41299,191
41300,108
41301,195
41302,274
41303,195
41304,213
41305,195
41306,235
41307,184
41308,198
41309,111
41310,218
41311,227
41312,216
41313,144
41314,204
41315,193
41316,212
41317,221
41318,224
41319,227
41320,189
41321,132
41322,221
41323,277
41324,191
41325,199
41326,119
41327,228
41328,212
41329,272
41330,187
41331,218
41332,247
41333,221
41334,212
41335,244
41336,218
41337,190
41338,202
41339,213
41340,193
41341,119
41342,199
41343,213
41344,210
41345,215
41346,205
41347,190
41348,212
41349,147
41350,98
41351,193
41352,195
41353,164
41354,205
41355,195
41356,173
41357,216
41358,205
41359,129
41360,193
41361,242
41362,161
41363,247
41364,205
41365,216
41366,222
41367,228
41368,200
41369,223
41370,193
41371,235
41372,205
41373,211
41374,195
41375,210
41376,200
41377,235
41378,266
41379,140
41380,213
41381,205
41382,205
41383,212
41384,285
41385,215
41386,139
41387,128
41388,197
41389,198
41390,205
41391,281
41392,227
41393,281
41394,200
41395,212
41396,195
41397,210
41398,197
41399,205
41400,215
41401,202
41402,223
41403,192
41404,205
41405,202
41406,217
41407,226
41408,127
41409,205
41410,285
41411,205
41412,128
41413,243
41414,214
41415,205
41416,184
41417,195
41418,213
41419,200
41420,205
41421,133
41422,215
41423,205
41424,142
41425,215
41426,221
41427,128
41428,233
41429,205
41430,197
41431,183
41432,216
41433,211
41434,215
41435,133
41436,193
41437,215
41438,200
41439,154
41440,214
41441,142
41442,195
41443,221
41444,137
41445,169
41446,210
41447,202
41448,215
41449,213
41450,233
41451,210
41452,127
41453,220
41454,214
41455,244
41456,190
41457,122
41458,234
41459,213
41460,193
41461,212
41462,205
41463,221
41464,102
41465,162
41466,208
41467,215
41468,286
41469,202
41470,184
41471,193
41472,193
41473,131
41474,190
41475,223
41476,120
41477,197
41478,134
41479,190
41480,197
41481,225
41482,242
41483,274
41484,156
41485,136
41486,212
41487,231
41488,125
41489,214
41490,281
41491,224
41492,235
41493,242
41494,195
41495,212
41496,111
41497,233
41498,195
41499,108
41500,218
41501,201
41502,163
41503,137
41504,281
41505,212
41506,212
41507,133
41508,235
41509,200
41510,214
41511,134
41512,205
41513,208
41514,198
41515,149
41516,200
41517,217
41518,200
41519,184
41520,197
41521,193
41522,205
41523,213
41524,223
41525,195
41526,216
41527,225
41528,247
41529,205
41530,211
41531,216
41532,183
41533,193
41534,242
41535,99
41536,116
41537,217
41538,213
41539,195
41540,212
41541,212
41542,224
41543,224
41544,236
41545,117
41546,218
41547,223
41548,224
41549,212
41550,272
41551,195
41552,221
41553,190
41554,212
41555,200
41556,195
41557,205
41558,198
41559,195
41560,210
41561,221
41562,235
41563,221
41564,190
41565,197
41566,205
41567,200
41568,198
41569,213
41570,195
41571,233
41572,205
41573,197
41574,190
41575,227
41576,212
41577,233
41578,200
41579,208
41580,227
41581,210
41582,231
41583,86
41584,119
41585,193
41586,133
41587,225
41588,95
41589,215
41590,200
41591,193
41592,205
41593,200
41594,200
41595,235
41596,133
41597,200
41598,212
41599,193
41600,121
41601,216
41602,184
41603,274
41604,130
41605,217
41606,191
41607,212
41608,212
41609,216
41610,195
41611,190
41612,195
41613,131
41614,193
41615,200
41616,203
41617,205
41618,221
41619,205
41620,212
41621,225
41622,213
41623,220
41624,211
41625,199
41626,138
41627,221
41628,198
41629,213
41630,210
41631,200
41632,116
41633,192
41634,205
41635,285
41636,212
41637,195
41638,205
41639,212
41640,218
41641,111
41642,211
41643,202
41644,212
41645,223
41646,212
41647,173
41648,223
41649,205
41650,114
41651,217
41652,124
41653,210
41654,208
41655,233
41656,142
41657,215
41658,200
41659,215
41660,200
41661,205
41662,222
41663,189
41664,210
41665,206
41666,184
41667,151
41668,190
41669,231
41670,205
41671,352
41672,200
41673,215
41674,213
41675,214
41676,224
41677,97
41678,193
41679,226
41680,125
41681,235
41682,202
41683,235
41684,205
41685,226
41686,202
41687,145
41688,218
41689,149
41690,118
41691,208
41692,113
41693,224
41694,218
41695,220
41696,151
41697,199
41698,205
41699,216
41700,227
41701,212
41702,211
41703,212
41704,205
41705,195
41706,193
41707,200
41708,210
41709,204
41710,241
41711,125
41712,226
41713,131
41714,193
41715,234
41716,218
41717,212
41718,222
41719,214
41720,286
41721,285
41722,221
41723,221
41724,213
41725,205
41726,197
41727,194
41728,184
41729,346
41730,205
41731,109
41732,193
41733,197
41734,140
41735,198
41736,210
41737,195
41738,205
41739,223
41740,210
41741,213
41742,227
41743,212
